Uniprot,symbol,Fasta header,Sequence coverage [%],Distal#1_Ave,Distal#2_Ave,Distal#3_Ave,Proximal#1_Ave,Proximal#2_Ave,Proximal#3_Ave,Distal,Proximal,minus_LOG10_p_value,Difference,p_value
A1A5Y1,zgc:158387,>tr|A1A5Y1|A1A5Y1_DANRE Uncharacterized protein OS=Danio rerio GN=zgc:158387 PE=2 SV=1,22.1,21.994125,21.94573333,23.69385,22.5787,21.7205,24.450675,22.54456944,22.916625,2.85,3.414,0.00 
A1A5Y7,zgc:158409,>tr|A1A5Y7|A1A5Y7_DANRE Uncharacterized protein OS=Danio rerio GN=zgc:158409 PE=2 SV=1,62.1,28.44725,27.37556667,24.50575,29.914675,28.2026,24.902575,26.77618889,27.67328333,1.96,4.047,0.01 
A1A605,ybx1,>tr|A1A605|A1A605_DANRE Uncharacterized protein OS=Danio rerio GN=ybx1 PE=2 SV=1,54.7,27.256425,26.8759,26.318525,26.593825,26.85436667,26.224375,26.81695,26.55752222,2.60,2.428,0.00 
A1L1F4,pds5a,>sp|A1L1F4|PDS5A_DANRE Sister chromatid cohesion protein PDS5 homolog A OS=Danio rerio GN=pds5a PE=2 SV=1,8.4,21.369575,22.12836667,24.3889,22.70405,22.35166667,23.810675,22.62894722,22.95546389,1.88,2.826,0.01 
A1L1G1,esrp1,>sp|A1L1G1|ESRP1_DANRE Epithelial splicing regulatory protein 1 OS=Danio rerio GN=esrp1 PE=2 SV=1,13.6,22.3618,21.6799,23.419,22.885675,21.74016667,22.7177,22.4869,22.44784722,2.24,3.511,0.01 
A1L1T1,fam129ba,>tr|A1L1T1|A1L1T1_DANRE Uncharacterized protein OS=Danio rerio GN=fam129ba PE=2 SV=1,11.1,22.595775,21.76756667,23.295425,22.807825,21.40436667,21.4165,22.55292222,21.87623056,1.77,5.478,0.02 
A1L1V1,fnta,>tr|A1L1V1|A1L1V1_DANRE Uncharacterized protein OS=Danio rerio GN=fnta PE=2 SV=1,12.8,22.098,21.93166667,21.58895,22.120275,21.3077,20.84075,21.87287222,21.42290833,1.80,3.165,0.02 
A1L251,engase,>sp|A1L251|ENASE_DANRE Cytosolic endo-beta-N-acetylglucosaminidase OS=Danio rerio GN=engase PE=2 SV=1,8.8,21.678675,20.71573333,21.2768,22.440775,21.56296667,22.18985,21.22373611,22.06453056,4.16,2.533,0.00 
A1XF92,crtac1a,>tr|A1XF92|A1XF92_DANRE Cartilage acidic protein 2 OS=Danio rerio GN=crtac1a PE=2 SV=1,6,22.6787,21.7077,21.63915,21.8793,21.5739,21.378875,22.00851667,21.61069167,2.20,4.708,0.01 
A2AR65,rca2.1,>tr|A2AR65|A2AR65_DANRE Uncharacterized protein OS=Danio rerio GN=rca2.1 PE=4 SV=1,9.2,22.63455,21.89943333,24.6978,21.825625,21.0748,23.00455,23.07726111,21.968325,4.23,4.915,0.00 
A2AR68,gdi1,>tr|A2AR68|A2AR68_DANRE Uncharacterized protein OS=Danio rerio GN=gdi1 PE=4 SV=1,41.2,22.258425,22.1606,25.188675,21.70325,24.34453333,25.128925,23.20256667,23.72556944,3.89,2.215,0.00 
A2ARG7,atp5ib,>tr|A2ARG7|A2ARG7_DANRE Uncharacterized protein OS=Danio rerio GN=atp5ib PE=4 SV=2,49.3,24.203975,25.3087,24.7626,22.623225,25.55733333,24.785575,24.758425,24.32204444,4.81,5.200,0.00 
A2AWA1,ddx39aa,>tr|A2AWA1|A2AWA1_DANRE Uncharacterized protein OS=Danio rerio GN=ddx39aa PE=4 SV=1,54.3,25.807375,27.47376667,28.47725,25.151275,27.88733333,28.055425,27.25279722,27.03134444,1.92,3.685,0.01 
A2AWE1,prdx1,>tr|A2AWE1|A2AWE1_DANRE Uncharacterized protein OS=Danio rerio GN=prdx1 PE=4 SV=2,55.8,22.471875,23.2115,24.4056,21.927475,23.4241,26.66305,23.36299167,24.004875,4.70,2.651,0.00 
A2BE49,ppm1f,>tr|A2BE49|A2BE49_DANRE Uncharacterized protein OS=Danio rerio GN=ppm1f PE=3 SV=1,8.5,22.2115,21.2063,21.77585,22.2155,21.04553333,21.4363,21.73121667,21.56577778,4.18,7.527,0.00 
A2BEN1,atp6v1aa,>tr|A2BEN1|A2BEN1_DANRE Uncharacterized protein OS=Danio rerio GN=atp6v1aa PE=3 SV=1,37.9,25.78535,24.1019,26.2867,23.756225,25.3867,26.234175,25.39131667,25.1257,2.96,3.353,0.00 
A2BF64,ctssb.2,>tr|A2BF64|A2BF64_DANRE Uncharacterized protein OS=Danio rerio GN=ctssb.2 PE=3 SV=1,7.3,22.46,21.76156667,22.3955,22.433425,21.6971,21.16825,22.20568889,21.76625833,2.34,-2.935,0.00 
A2BF67,ensab,>tr|A2BF67|A2BF67_DANRE Uncharacterized protein OS=Danio rerio GN=ensab PE=4 SV=1,48.7,23.2206,23.23906667,22.7886,22.618875,23.12066667,24.002025,23.08275556,23.24718889,3.54,3.130,0.00 
A2BF91,zgc:101858,>tr|A2BF91|A2BF91_DANRE Uncharacterized protein OS=Danio rerio GN=zgc:101858 PE=4 SV=1,9.4,22.78025,22.24603333,21.68665,22.668775,19.4911,21.783275,22.23764444,21.31438333,2.57,4.360,0.00 
A2BFD8,thy1,>tr|A2BFD8|A2BFD8_DANRE Uncharacterized protein OS=Danio rerio GN=thy1 PE=4 SV=1,30.7,26.98345,27.6545,26.90025,24.18445,27.4435,26.5957,27.1794,26.07455,3.35,-1.947,0.00 
A2BFT4,ftr82,>tr|A2BFT4|A2BFT4_DANRE Uncharacterized protein OS=Danio rerio GN=ftr82 PE=4 SV=1,3.5,22.8331,21.78883333,21.79355,22.311675,20.73306667,21.219225,22.13849444,21.42132222,3.35,2.322,0.00 
A2BFY7,purba,>tr|A2BFY7|A2BFY7_DANRE Si:dkey-202n14.1 OS=Danio rerio GN=purba PE=2 SV=1,16.6,23.362425,21.76913333,22.9848,21.86675,21.29883333,21.653125,22.70545278,21.60623611,2.83,5.468,0.00 
A2BG46,ankrd13a,>tr|A2BG46|A2BG46_DANRE Uncharacterized protein OS=Danio rerio GN=ankrd13a PE=4 SV=1,3.9,22.509725,21.35876667,22.050275,21.919775,19.8856,21.2469,21.97292222,21.017425,2.40,2.880,0.00 
A2BG80,ppp2r2ab,>tr|A2BG80|A2BG80_DANRE Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B OS=Danio rerio GN=ppp2r2ab PE=3 SV=1,17.6,22.545775,21.15726667,21.292575,21.781825,20.76573333,21.31645,21.66520556,21.28800278,2.45,2.969,0.00 
A2BGE2,si:dkey-103e21.5,>tr|A2BGE2|A2BGE2_DANRE Uncharacterized protein OS=Danio rerio GN=si:dkey-103e21.5 PE=3 SV=1,24.9,23.8773,23.235,25.5074,22.527775,22.18456667,25.136425,24.20656667,23.28292222,2.09,2.865,0.01 
A2BGG0,golph3,>tr|A2BGG0|A2BGG0_DANRE Uncharacterized protein OS=Danio rerio GN=golph3 PE=4 SV=1,21.1,22.5815,21.65486667,21.12845,21.8966,21.27613333,21.1361,21.78827222,21.43627778,1.71,2.931,0.02 
A2BGG1,mtmr12,>sp|A2BGG1|MTMRC_DANRE Myotubularin-related protein 12 OS=Danio rerio GN=mtmr12 PE=3 SV=1,4.2,22.0883,21.36766667,21.10915,21.590125,21.30033333,21.586675,21.52170556,21.49237778,4.98,1.753,0.00 
A2BGI0,ccnh,>tr|A2BGI0|A2BGI0_DANRE Uncharacterized protein OS=Danio rerio GN=ccnh PE=3 SV=1,3.8,24.870875,26.52216667,23.4736,25.742275,26.8333,26.6231,24.95554722,26.39955833,2.32,4.067,0.00 
A2BGK0,cds2,>tr|A2BGK0|A2BGK0_DANRE Phosphatidate cytidylyltransferase OS=Danio rerio GN=cds2 PE=3 SV=1,11.9,22.782075,21.01493333,24.38165,22.01895,20.6647,23.872075,22.72621944,22.18524167,2.21,-3.382,0.01 
A2BGN0,mmab,>tr|A2BGN0|A2BGN0_DANRE Uncharacterized protein OS=Danio rerio GN=mmab PE=4 SV=1,9.4,22.659925,22.03656667,22.62425,22.2279,21.2528,20.7454,22.44024722,21.4087,2.78,3.663,0.00 
A2BGQ1,dhfr,>tr|A2BGQ1|A2BGQ1_DANRE Uncharacterized protein OS=Danio rerio GN=dhfr PE=4 SV=1,14.2,22.469025,21.9335,22.6555,22.09885,20.98946667,21.6141,22.352675,21.56747222,3.35,2.861,0.00 
A2BGR0,erap1b,>tr|A2BGR0|A2BGR0_DANRE Uncharacterized protein OS=Danio rerio GN=erap1b PE=4 SV=1,19.3,25.651825,22.22773333,25.198425,23.750925,22.5524,23.462275,24.35932778,23.2552,3.46,3.541,0.00 
A2BGR2,map7d2a,>tr|A2BGR2|A2BGR2_DANRE Uncharacterized protein OS=Danio rerio GN=map7d2a PE=4 SV=2,1,24.317525,21.5073,20.685675,23.26085,21.0901,21.39425,22.17016667,21.91506667,3.61,2.559,0.00 
A2BGR9,aldh2.1,>tr|A2BGR9|A2BGR9_DANRE Uncharacterized protein OS=Danio rerio GN=aldh2.1 PE=3 SV=1,43.2,24.05415,25.73103333,25.824275,23.250625,25.8157,26.01355,25.20315278,25.026625,1.83,3.210,0.01 
A2BHA3,ckma,>tr|A2BHA3|A2BHA3_DANRE Uncharacterized protein OS=Danio rerio GN=ckma PE=3 SV=1,28.6,23.067375,21.25766667,23.813925,23.052075,21.3079,25.887525,22.71298889,23.41583333,4.55,-4.200,0.00 
A2BHD8,hexb,>tr|A2BHD8|A2BHD8_DANRE Beta-hexosaminidase OS=Danio rerio GN=hexb PE=3 SV=1,32.9,23.745875,22.2809,25.932775,22.2344,22.32333333,24.306425,23.98651667,22.95471944,3.51,5.975,0.00 
A2BHM2,si:ch211-271e10.6,>tr|A2BHM2|A2BHM2_DANRE Uncharacterized protein OS=Danio rerio GN=si:ch211-271e10.6 PE=4 SV=1,9.6,22.3455,21.6691,29.152525,22.130925,21.31386667,28.62715,24.38904167,24.02398056,1.86,2.816,0.01 
A2BHN0,anxa3a,>tr|A2BHN0|A2BHN0_DANRE Annexin OS=Danio rerio GN=anxa3a PE=3 SV=1,26.5,25.5161,26.5712,26.849375,23.70555,25.87323333,25.53195,26.312225,25.03691111,4.10,2.112,0.00 
A2BIH6,lrrc8da,>tr|A2BIH6|A2BIH6_DANRE Uncharacterized protein OS=Danio rerio GN=lrrc8da PE=4 SV=1,8,22.138975,21.426,20.957725,22.381875,21.2835,21.51775,21.50756667,21.72770833,3.74,3.303,0.00 
A2BIM7,tars,>tr|A2BIM7|A2BIM7_DANRE Uncharacterized protein OS=Danio rerio GN=tars PE=3 SV=1,33.4,26.230025,26.2909,26.679525,25.193325,25.644,26.130175,26.40015,25.65583333,1.74,3.040,0.02 
A2BIN5,mccc2,>tr|A2BIN5|A2BIN5_DANRE Uncharacterized protein OS=Danio rerio GN=mccc2 PE=4 SV=1,28.8,24.4005,22.8439,23.5853,25.032825,22.53313333,24.0144,23.6099,23.86011944,4.51,3.777,0.00 
A2BIN8,nos2a,>tr|A2BIN8|A2BIN8_DANRE Uncharacterized protein OS=Danio rerio GN=nos2a PE=4 SV=1,2.4,22.041275,22.3798,21.517675,22.722625,22.3232,21.235925,21.97958333,22.09391667,4.45,-2.165,0.00 
A2BIP1,atp2a3,>tr|A2BIP1|A2BIP1_DANRE Uncharacterized protein (Fragment) OS=Danio rerio GN=atp2a3 PE=4 SV=1,15.7,25.720775,24.52933333,24.6156,23.7095,24.09493333,24.9129,24.95523611,24.23911111,1.89,4.520,0.01 
A2BIQ7,zcchc8,>tr|A2BIQ7|A2BIQ7_DANRE Uncharacterized protein OS=Danio rerio GN=zcchc8 PE=4 SV=1,6.8,22.79375,20.9168,21.878975,23.025925,22.28936667,21.5201,21.863175,22.27846389,1.72,3.620,0.02 
A2BIR5,ube2l3b,>tr|A2BIR5|A2BIR5_DANRE Uncharacterized protein OS=Danio rerio GN=ube2l3b PE=3 SV=1,77.2,24.072,23.09836667,25.76535,24.320225,23.6422,25.29615,24.31190556,24.419525,2.78,2.313,0.00 
A2CE73,khdrbs1a,>tr|A2CE73|A2CE73_DANRE Uncharacterized protein OS=Danio rerio GN=khdrbs1a PE=4 SV=1,16.3,24.752575,27.13246667,27.630075,24.572275,27.05546667,26.929025,26.50503889,26.18558889,2.99,3.500,0.00 
A2CE76,upk3b,>tr|A2CE76|A2CE76_DANRE Uncharacterized protein OS=Danio rerio GN=upk3b PE=4 SV=1,9.1,22.772075,23.44133333,24.981725,21.89405,24.50766667,24.7686,23.73171111,23.72343889,4.90,3.182,0.00 
A2CEM4,atl3,>tr|A2CEM4|A2CEM4_DANRE Uncharacterized protein OS=Danio rerio GN=atl3 PE=4 SV=1,43.5,23.957075,26.78693333,27.645075,23.07945,26.7063,26.76235,26.12969444,25.51603333,3.46,3.459,0.00 
A2CEW4,atic,>tr|A2CEW4|A2CEW4_DANRE Uncharacterized protein OS=Danio rerio GN=atic PE=3 SV=1,55.8,26.0891,27.3503,27.0515,26.945525,27.67053333,27.510575,26.8303,27.37554444,2.08,3.085,0.01 
A2CEY7,si:dkey-251i10.2,>tr|A2CEY7|A2CEY7_DANRE Uncharacterized protein OS=Danio rerio GN=si:dkey-251i10.2 PE=4 SV=1,14.5,22.8203,21.9417,23.583025,22.7799,22.11646667,21.73825,22.781675,22.21153889,2.48,3.588,0.00 
A2CF32,glipr2,>tr|A2CF32|A2CF32_DANRE Uncharacterized protein OS=Danio rerio GN=glipr2 PE=4 SV=1,6.8,22.073875,22.09433333,21.767725,22.6305,22.23433333,20.86435,21.97864444,21.90972778,3.15,3.398,0.00 
A2CF42,lrsam1,>tr|A2CF42|A2CF42_DANRE Uncharacterized protein OS=Danio rerio GN=lrsam1 PE=4 SV=1,3.7,23.15355,21.66396667,22.132825,22.230175,20.60703333,21.8966,22.31678056,21.57793611,2.98,-2.227,0.00 
A2CF49,ppp2r4,>tr|A2CF49|A2CF49_DANRE Serine/threonine-protein phosphatase 2A activator OS=Danio rerio GN=ppp2r4 PE=3 SV=1,19.1,22.26765,21.59013333,24.81275,22.28135,20.39403333,23.569925,22.89017778,22.08176944,3.17,4.236,0.00 
A2CG95,acadm,>tr|A2CG95|A2CG95_DANRE Uncharacterized protein OS=Danio rerio GN=acadm PE=3 SV=1,21.4,24.798625,24.5561,25.032825,25.350375,24.86983333,25.23595,24.79585,25.15205278,1.84,-2.899,0.01 
A2RRT1,mfge8b,>tr|A2RRT1|A2RRT1_DANRE Milk fat globule-EGF factor 8 protein OS=Danio rerio GN=mfge8b PE=2 SV=1,3,22.64425,21.20833333,22.086475,22.61295,20.91263333,21.744425,21.97968611,21.75666944,3.30,8.192,0.00 
A2THY5,mtx1a,>tr|A2THY5|A2THY5_DANRE Metaxin 1a OS=Danio rerio GN=mtx1a PE=2 SV=1,7.8,22.461925,21.8796,21.858075,22.605975,20.74046667,21.159025,22.06653333,21.50182222,2.28,2.854,0.01 
A3KGZ5,vps37b,>tr|A3KGZ5|A3KGZ5_DANRE Uncharacterized protein OS=Danio rerio GN=vps37b PE=4 SV=1,6.6,22.785175,21.8115,22.094625,22.85485,21.5573,23.24045,22.23043333,22.55086667,2.70,-3.776,0.00 
A3KGZ6,ppp3cca,>tr|A3KGZ6|A3KGZ6_DANRE Serine/threonine-protein phosphatase OS=Danio rerio GN=ppp3cca PE=3 SV=1,25.5,22.4843,23.99716667,21.582625,22.598725,23.26493333,22.2947,22.68803056,22.71945278,3.69,-5.191,0.00 
A3KMS9,prkacaa,>tr|A3KMS9|A3KMS9_DANRE Uncharacterized protein OS=Danio rerio GN=prkacaa PE=2 SV=1,15.9,24.4159,23.5157,25.595075,25.7492,24.23443333,25.511325,24.50889167,25.16498611,2.83,-2.646,0.00 
A3KNM2,tpd52,>tr|A3KNM2|A3KNM2_DANRE Si:ch211-203l9.2 OS=Danio rerio GN=tpd52 PE=2 SV=1,51.9,27.481,27.65006667,26.804725,27.734725,27.32656667,26.4831,27.31193056,27.18146389,3.61,6.014,0.00 
A3KP47,zgc:162941,>tr|A3KP47|A3KP47_DANRE Uncharacterized protein OS=Danio rerio GN=zgc:162941 PE=2 SV=1,62.7,24.07365,25.51526667,26.2199,22.87565,25.5212,26.216175,25.26960556,24.87100833,2.54,2.468,0.00 
A3KPG5,crp3,>tr|A3KPG5|A3KPG5_DANRE Uncharacterized protein OS=Danio rerio GN=crp3 PE=4 SV=1,30.9,27.595725,27.2428,25.6834,28.47055,28.27783333,26.8554,26.84064167,27.86792778,2.11,3.201,0.01 
A3KPH5,crp7,>tr|A3KPH5|A3KPH5_DANRE Uncharacterized protein OS=Danio rerio GN=crp7 PE=4 SV=1,8.4,22.0408,24.10776667,24.315475,23.142725,25.23433333,24.524825,23.48801389,24.30062778,3.07,2.810,0.00 
A3KPH8,crp,>tr|A3KPH8|A3KPH8_DANRE Uncharacterized protein OS=Danio rerio GN=crp PE=4 SV=1,12,21.6865,21.77373333,18.44625,20.72425,21.23726667,21.571325,20.63549444,21.17761389,3.13,3.936,0.00 
A3KPI6,si:ch211-288g17.3,>tr|A3KPI6|A3KPI6_DANRE Uncharacterized protein OS=Danio rerio GN=si:ch211-288g17.3 PE=4 SV=1,17.2,26.77165,25.83463333,25.953475,27.466875,26.20693333,26.09755,26.18658611,26.59045278,4.44,2.279,0.00 
A3KPN4,ptx3a,>tr|A3KPN4|A3KPN4_DANRE Uncharacterized protein OS=Danio rerio GN=ptx3a PE=4 SV=1,17.2,22.23975,22.26826667,22.38325,23.32405,22.755,26.453125,22.29708889,24.17739167,2.63,4.567,0.00 
A3KPP9,exoc1,>tr|A3KPP9|A3KPP9_DANRE Uncharacterized protein OS=Danio rerio GN=exoc1 PE=4 SV=1,6.6,22.037225,22.35656667,23.1793,23.19605,21.7356,22.389925,22.52436389,22.440525,2.49,2.403,0.00 
A3KPR3,histh1l,>tr|A3KPR3|A3KPR3_DANRE Uncharacterized protein OS=Danio rerio GN=histh1l PE=3 SV=1,35.8,29.527525,30.10756667,29.499675,29.08795,29.61266667,28.8202,29.71158889,29.17360556,4.04,3.503,0.00 
A3KPX2,abcf1,>tr|A3KPX2|A3KPX2_DANRE Uncharacterized protein OS=Danio rerio GN=abcf1 PE=3 SV=1,19.4,23.625425,21.3423,25.792125,23.969275,22.20316667,25.8284,23.58661667,24.00028056,3.30,1.969,0.00 
A3KPZ2,cratb,>tr|A3KPZ2|A3KPZ2_DANRE OTTDARP00000014432 OS=Danio rerio GN=cratb PE=3 SV=1,7.7,22.613975,21.60093333,19.954675,22.8388,20.76693333,21.42005,21.38986111,21.67526111,2.66,3.136,0.00 
A3KPZ9,si:ch211-152p11.4,>tr|A3KPZ9|A3KPZ9_DANRE OTTDARP00000015090 OS=Danio rerio GN=si:ch211-152p11.4 PE=4 SV=1,12.7,22.737725,21.28563333,23.86455,23.3522,21.25456667,22.8715,22.62930278,22.49275556,2.48,3.570,0.00 
A3KQ59,usp39,>tr|A3KQ59|A3KQ59_DANRE Uncharacterized protein OS=Danio rerio GN=usp39 PE=4 SV=1,6.2,22.806425,21.2758,23.26765,23.065975,20.61576667,22.4486,22.44995833,22.04344722,5.48,-3.307,0.00 
A3KQI1,gtpbp1l,>tr|A3KQI1|A3KQI1_DANRE Uncharacterized protein OS=Danio rerio GN=gtpbp1l PE=4 SV=1,3.2,23.06775,21.87583333,20.9907,22.71805,20.83923333,20.788025,21.97809444,21.44843611,2.71,2.709,0.00 
A3KQK2,asns,>tr|A3KQK2|A3KQK2_DANRE Uncharacterized protein OS=Danio rerio GN=asns PE=4 SV=1,12.5,21.7655,21.6167,21.01945,21.8093,21.60633333,21.9086,21.46721667,21.77474444,2.12,-2.960,0.01 
A3KQR0,acadl,>tr|A3KQR0|A3KQR0_DANRE Uncharacterized protein OS=Danio rerio GN=acadl PE=3 SV=1,16.7,22.64315,21.5509,21.5978,23.5735,21.76116667,21.8337,21.93061667,22.38945556,3.19,2.692,0.00 
A3KQX1,cndp2,>tr|A3KQX1|A3KQX1_DANRE Uncharacterized protein OS=Danio rerio GN=cndp2 PE=4 SV=1,61.8,27.5029,27.86143333,28.0563,27.872825,28.14326667,28.068,27.80687778,28.02803056,3.04,2.465,0.00 
A3QJU3,adck4,>sp|A3QJU3|ADCK4_DANRE AarF domain-containing protein kinase 4 OS=Danio rerio GN=adck4 PE=3 SV=2,1.8,23.233075,21.92903333,20.457325,21.2068,20.50206667,20.658375,21.87314444,20.78908056,3.25,3.113,0.00 
A4FUL3,rbx1,>tr|A4FUL3|A4FUL3_DANRE Rbx1 protein OS=Danio rerio GN=rbx1 PE=2 SV=1,24.1,22.456975,22.6669,21.357425,22.76955,21.09963333,22.8832,22.16043333,22.25079444,2.51,2.878,0.00 
A4FUP0,sult2st3,>tr|A4FUP0|A4FUP0_DANRE Sulfotransferase OS=Danio rerio GN=sult2st3 PE=2 SV=1,62.8,22.766375,27.71796667,29.1842,26.0521,28.75393333,29.640975,26.55618056,28.14900278,3.07,2.650,0.00 
A4FVK4,rab8a,>tr|A4FVK4|A4FVK4_DANRE Rab8a protein OS=Danio rerio GN=rab8a PE=2 SV=1,22.7,24.62125,23.06343333,23.9807,24.9149,22.39756667,23.384125,23.88846111,23.56553056,3.74,3.817,0.00 
A4IG09,ftr83,>tr|A4IG09|A4IG09_DANRE Si:dkey-7b17.2 protein OS=Danio rerio GN=ftr83 PE=2 SV=1,13.7,23.034725,21.8448,23.741575,22.056425,20.1137,21.72,22.8737,21.29670833,3.21,4.456,0.00 
A4IG34,zgc:162150,>tr|A4IG34|A4IG34_DANRE Uncharacterized protein OS=Danio rerio GN=zgc:162150 PE=2 SV=1,46.1,22.7832,23.79746667,28.8012,22.5428,23.55206667,26.34745,25.12728889,24.14743889,3.02,7.033,0.00 
A4IGC8,aldh18a1,>tr|A4IGC8|A4IGC8_DANRE Aldh18a1 protein OS=Danio rerio GN=aldh18a1 PE=2 SV=1,8.8,22.725325,21.64416667,22.688425,22.242825,21.25553333,23.5542,22.35263889,22.35085278,2.96,5.546,0.00 
A4QNT9,stat5b,>tr|A4QNT9|A4QNT9_DANRE Signal transducer and activator of transcription OS=Danio rerio GN=stat5b PE=2 SV=1,16.3,22.88575,21.6965,23.552175,22.6858,21.57173333,23.019775,22.711475,22.42576944,2.69,3.069,0.00 
A4QP33,ppp2r5cb,>tr|A4QP33|A4QP33_DANRE Ppp2r5c protein OS=Danio rerio GN=ppp2r5cb PE=2 SV=1,8.5,22.585675,21.41633333,22.186275,24.669,21.08353333,20.906,22.06276111,22.21951111,2.10,2.578,0.01 
A4QPA0,me3,>tr|A4QPA0|A4QPA0_DANRE Malic enzyme OS=Danio rerio GN=me3 PE=2 SV=1,49.1,23.1281,24.54083333,26.383325,25.543275,26.364,27.4011,24.68408611,26.436125,0.48,-0.580,0.33 
A4VAK4,hspb1,>tr|A4VAK4|A4VAK4_DANRE Heat shock protein 1 OS=Danio rerio GN=hspb1 PE=2 SV=1,24.6,22.243775,21.7585,21.201,23.11175,20.68266667,22.6559,21.734425,22.15010556,0.04,-0.084,0.92 
A4VCH0,sacm1lb,>sp|A4VCH0|SAC1B_DANRE Phosphatidylinositide phosphatase SAC1-B OS=Danio rerio GN=sacm1lb PE=2 SV=2,8.5,22.80815,23.57303333,24.687425,23.0115,23.7527,21.52125,23.68953611,22.76181667,0.37,-0.828,0.43 
A5A4L9,supt16h,>tr|A5A4L9|A5A4L9_DANRE FACT complex large subunit OS=Danio rerio GN=supt16h PE=2 SV=1,13.3,21.960075,22.45616667,22.539825,22.5947,22.0579,21.487225,22.31868889,22.04660833,0.01,-0.021,0.98 
A5D6S3,mut,>tr|A5D6S3|A5D6S3_DANRE Mut protein OS=Danio rerio GN=mut PE=2 SV=1,7.3,22.177275,21.76476667,22.667,22.54505,21.91043333,21.5206,22.20301389,21.99202778,0.64,-0.786,0.23 
A5PF59,zgc:77778,>tr|A5PF59|A5PF59_DANRE Uncharacterized protein OS=Danio rerio GN=zgc:77778 PE=4 SV=1,22.3,22.2867,22.06143333,22.632525,24.4647,25.16523333,26.296775,22.32688611,25.30890278,0.99,0.929,0.10 
A5PF61,leg1a,>sp|A5PF61|LEG1A_DANRE Protein leg1a OS=Danio rerio GN=leg1a PE=1 SV=1,28.6,23.075175,22.15743333,23.956475,23.035675,24.70316667,26.534725,23.06302778,24.75785556,0.26,0.258,0.55 
