geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05226	Gastric cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05226+1015+11211+1496+1869+1870+1950+2248+2249+2250+2253+51176+7015+7475+8326+8822+89780+898+9965	149	18	9.455884321863703	1.9035765865262086	0.006084374989338448	0.18031874968403036	1015;11211;1496;1869;1870;1950;2248;2249;2250;2253;51176;7015;7475;8326;8822;89780;898;9965	ENSG00000101412;ENSG00000007968;ENSG00000164362;ENSG00000105173;ENSG00000138795;ENSG00000154342;ENSG00000115596;ENSG00000158815;ENSG00000138798;ENSG00000111432;ENSG00000066032;ENSG00000188763;ENSG00000079112;ENSG00000162344;ENSG00000186895;ENSG00000107831;ENSG00000075388;ENSG00000138675
hsa05034	Alcoholism	http://www.kegg.jp/kegg-bin/show_pathway?hsa05034+128312+1392+158983+2786+2792+2902+2903+6531+8329+8332+8336+8345+8355+8356+8358+8365+8367+84152+90993+92815	180	20	11.423215959298433	1.7508204406938583	0.009929846203772463	0.26976082186915196	128312;1392;158983;2786;2792;2902;2903;6531;8329;8332;8336;8345;8355;8356;8358;8365;8367;84152;90993;92815	ENSG00000278677;ENSG00000158406;ENSG00000196747;ENSG00000274267;ENSG00000276966;ENSG00000168243;ENSG00000197153;ENSG00000276903;ENSG00000157613;ENSG00000181218;ENSG00000176884;ENSG00000196890;ENSG00000131771;ENSG00000275713;ENSG00000142319;ENSG00000183454;ENSG00000127928;ENSG00000273983;ENSG00000147571;ENSG00000123569
hsa04114	Oocyte meiosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04114+114+151648+27127+286151+5347+6790+699+891+898+9088+9133+9232+983+991+995	124	15	7.869326549738921	1.9061351572070233	0.011576342111240034	0.2902990406357116	114;151648;27127;286151;5347;6790;699;891;898;9088;9133;9232;983;991;995	ENSG00000158402;ENSG00000156509;ENSG00000134057;ENSG00000164611;ENSG00000157456;ENSG00000087586;ENSG00000117399;ENSG00000170312;ENSG00000127564;ENSG00000169679;ENSG00000166851;ENSG00000129810;ENSG00000105173;ENSG00000077935;ENSG00000155897
hsa04115	p53 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04115+1029+2810+51512+56475+6241+7161+891+898+9133+983	72	10	4.569286383719374	2.188525550867323	0.014852690985522998	0.31926083502179115	1029;2810;51512;56475;6241;7161;891;898;9133;983	ENSG00000134057;ENSG00000157456;ENSG00000170312;ENSG00000171848;ENSG00000075218;ENSG00000147889;ENSG00000078900;ENSG00000105173;ENSG00000175793;ENSG00000177519
hsa05218	Melanoma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05218+1029+1869+1870+1950+2248+2249+2250+2253+8822+9965	72	10	4.569286383719374	2.188525550867323	0.014852690985522998	0.31926083502179115	1029;1869;1870;1950;2248;2249;2250;2253;8822;9965	ENSG00000101412;ENSG00000147889;ENSG00000007968;ENSG00000158815;ENSG00000138798;ENSG00000162344;ENSG00000186895;ENSG00000107831;ENSG00000075388;ENSG00000138675
hsa00534	Glycosaminoglycan biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00534+2134+222537+64579+90161+9348	24	5	1.5230954612397911	3.2827883263009845	0.015669243436652325	0.31926083502179115	2134;222537;64579;90161;9348	ENSG00000164100;ENSG00000158008;ENSG00000171004;ENSG00000249853;ENSG00000138653
hsa04972	Pancreatic secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04972+10136+1056+114+1357+1358+1504+23436+30814+5406+5408+5644+5645	96	12	6.0923818449591645	1.9696729957805907	0.01782657746549221	0.32552043338894815	10136;1056;114;1357;1358;1504;23436;30814;5406;5408;5644;5645	ENSG00000170835;ENSG00000275896;ENSG00000142789;ENSG00000091704;ENSG00000158516;ENSG00000204983;ENSG00000219073;ENSG00000168925;ENSG00000155897;ENSG00000266200;ENSG00000188784;ENSG00000175535
hsa04911	Insulin secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04911+114+139760+157855+2641+2695+2740+3780+6833+779+90993+9699	85	11	5.39429642522426	2.0391908662199056	0.017973520861966463	0.32552043338894815	114;139760;157855;2641;2695;2740;3780;6833;779;90993;9699	ENSG00000105642;ENSG00000081248;ENSG00000157613;ENSG00000112164;ENSG00000215262;ENSG00000006071;ENSG00000176406;ENSG00000159224;ENSG00000115263;ENSG00000155897;ENSG00000147262
hsa00910	Nitrogen metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00910+762+767+768+771	17	4	1.078859285044852	3.707619756763465	0.019662543591730808	0.3373678532054865	762;767;768;771	ENSG00000167434;ENSG00000178538;ENSG00000074410;ENSG00000107159
hsa04020	Calcium signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04020+1128+1129+114+22953+2902+2903+2915+2925+3358+3706+5137+623+6869+7134+774+777+779+887+8911	183	19	11.613602891953407	1.6360125429434416	0.0227808522608568	0.37132789185196585	1128;1129;114;22953;2902;2903;2915;2925;3358;3706;5137;623;6869;7134;774;777;779;887;8911	ENSG00000137825;ENSG00000100739;ENSG00000154678;ENSG00000114854;ENSG00000181072;ENSG00000126010;ENSG00000081248;ENSG00000176884;ENSG00000115353;ENSG00000198216;ENSG00000100346;ENSG00000183454;ENSG00000148408;ENSG00000110148;ENSG00000168539;ENSG00000147246;ENSG00000168959;ENSG00000187848;ENSG00000155897
